Sample	ID	PIT	Group	Pop	Selection	Photoperiod	Sex	Weight_end	Length_end	Trial	Repeat	Arena	Beh_batch	Out_time_min	Activity	Explorated
	90	LA000000900226000790624	Wild HV	Wild	HV	24	NA	NA	NA	90_2	-1	2	3	5.648	0.404644076	1
F113	29	LA000000900226000772345	Wild HV	Wild	HV	12:12	1	14.9	114	29_3	-1	4	4	9.75	NA	0
F114	95	LA000000900226000772316	Wild HV	Wild	HV	24	-1	8.8	92	95_2	-1	3	2	0.052666667	NA	NA
F117	52	LA000000900226000789999	Wild LV	Wild	LV	24	-1	15.8	114	52_2	0	2	4	0.634666667	0.311416798	0
F119	47	LA000000900226000789901	Wild HV	Wild	HV	24	1	15.5	114	47_2	-1	4	2	0.199166667	NA	NA
F120	54	LA000000900226000790663	Wild HV	Wild	HV	24	-1	13.8	110	54_2	-1	1	2	9.75	NA	0
F65	76	LA000000900226000524063	Wild LV	Wild	LV	12:12	1	12.4	108	76_3	0	1	5	0.1825	0.347577991	1
F68	3	LA000000900226000789212	Wild LV	Wild	LV	12:12	1	15.6	116	3_3	0	2	5	2.843	0.845060084	1
F61	80	LA000000900226000790131	Wild HV	Wild	HV	12:12	1	14.9	113	80_1	-1	3	3	2.135833333	0.27869128	1
F73	59	LA000000900226000790674	Wild HV	Wild	HV	12:12	1	19.3	120	59_1	-1	4	5	3.497166667	0.342483324	1
F78	60	LA000000900226000790653	Wild HV	Wild	HV	12:12	-1	18	118	60_1	-1	2	2	1.234666667	0.103677598	1
F84	15	LA000000900226000790128	Wild LV	Wild	LV	12:12	-1	16.7	118	15_1	-1	2	5	7.523	0.959510552	1
F86	25	LA000000900226000729111	Wild LV	Wild	LV	12:12	1	16.9	119	25_1	-1	1	4	0.407833333	0.209052072	1
F88	81	LA000000900226000789970	Wild LV	Wild	LV	12:12	1	16.9	117	81_1	-1	3	4	6.529833333	0.948449766	1
F97	94	LA000000982000359701552	Wild LV	Wild	LV	12:12	-1	24	132	94_1	-1	4	4	9.75	NA	0
F98	85	LA000000900226000789964	Wild LV	Wild	LV	12:12	-1	14.6	109	85_1	-1	3	5	0.039333333	0.347433645	1
F99	30	LA000000900226000789955	Wild HV	Wild	HV	12:12	1	15.2	112	30_1	-1	4	3	9.75	NA	0
	7	LA000000900226000772244	Wild HV	Wild	HV	24	NA	NA	NA	7_3	1	3	1	2.896666667	0.220671964	1
	73	LA000000900226000789965	Wild LV	Wild	LV	24	NA	NA	NA	73_3	1	1	2	0.022333333	0.21625528	1
F139	68	LA000000900226000789287	Wild HV	Wild	HV	24	-1	21.4	124	68_3	1	4	1	0	0.554171282	1
	55	LA000000900226000789927	Wild LV	Wild	LV	24	NA	NA	NA	55_3	1	1	3	0.3545	0.076453779	1
	90	LA000000900226000790624	Wild HV	Wild	HV	24	NA	NA	NA	90_3	0	1	4	9.75	NA	0
F114	95	LA000000900226000772316	Wild HV	Wild	HV	24	-1	8.8	92	95_3	0	4	3	0.4515	0.103009087	1
F117	52	LA000000900226000789999	Wild LV	Wild	LV	24	-1	15.8	114	52_3	1	3	1	0.445166667	0.14193366	0
